human,mouse,type,unknown
ENSG00000116213,ENSMUSG00000029029,01:01,926373
ENSG00000078900,ENSMUSG00000029026,01:01,934938
ENSG00000162592,ENSMUSG00000039492,01:01,904253
ENSG00000235169,ENSMUSG00000078350,01:01,837113
ENSG00000130764,ENSMUSG00000029028,01:01,918653
ENSG00000116198,ENSMUSG00000039523,01:01,935777
ENSG00000169598,ENSMUSG00000029027,01:01,954329
ENSG00000198912,ENSMUSG00000047613,01:01,848655
ENSG00000196581,ENSMUSG00000039546,01:01,919957
ENSG00000131697,ENSMUSG00000039577,01:01,891799
ENSG00000069424,ENSMUSG00000028931,01:01,879846
ENSG00000116254,ENSMUSG00000005045,01:01,
ENSG00000116251,ENSMUSG00000028936,01:01,958380
ENSG00000158286,ENSMUSG00000058498,01:01,909092
ENSG00000116237,ENSMUSG00000039662,01:01,721746
ENSG00000173673,ENSMUSG00000028946,01:01,836400
ENSG00000158292,ENSMUSG00000042804,01:01,939267
ENSG00000097021,ENSMUSG00000028937,01:01,932818
ENSG00000069812,ENSMUSG00000028940,01:01,598148
ENSG00000215788,ENSMUSG00000024793,01:01,945038
ENSG00000171680,ENSMUSG00000039713,01:01,916267
ENSG00000162408,ENSMUSG00000028948,01:01,934881
ENSG00000173662,ENSMUSG00000028950,01:01,292070
ENSG00000204859,ENSMUSG00000028952,01:01,601343
ENSG00000162413,ENSMUSG00000073700,01:01,601445
ENSG00000116273,ENSMUSG00000047777,01:01,879626
ENSG00000041988,ENSMUSG00000039759,01:01,920586
ENSG00000007923,ENSMUSG00000039768,01:01,844972
ENSG00000171735,ENSMUSG00000014592,01:01,901701
ENSG00000049245,ENSMUSG00000028955,01:01,883062
ENSG00000049246,ENSMUSG00000028957,01:01,934656
ENSG00000049247,ENSMUSG00000028963,01:01,901431
ENSG00000049249,ENSMUSG00000028965,01:01,597283
ENSG00000116288,ENSMUSG00000028964,01:01,814560
ENSG00000116285,ENSMUSG00000028967,01:01,943212
ENSG00000162426,ENSMUSG00000039838,01:01,595663
ENSG00000142599,ENSMUSG00000039852,01:01,600845
ENSG00000074800,ENSMUSG00000059040,1:m,960120
ENSG00000074800,ENSMUSG00000063524,1:m,
ENSG00000131686,ENSMUSG00000028972,01:01,704811
ENSG00000197241,ENSMUSG00000062064,01:01,595709
ENSG00000142583,ENSMUSG00000028976,01:01,594490
ENSG00000180758,ENSMUSG00000047875,01:01,598653
ENSG00000049239,ENSMUSG00000028980,01:01,921816
ENSG00000171621,ENSMUSG00000039911,01:01,935602
ENSG00000171612,ENSMUSG00000028982,01:01,769043
ENSG00000188807,ENSMUSG00000044700,01:01,282975
ENSG00000171608,ENSMUSG00000039936,01:01,707045
ENSG00000171603,ENSMUSG00000039953,01:01,884103
ENSG00000178585,ENSMUSG00000028988,01:01,284859
ENSG00000162441,ENSMUSG00000028990,01:01,947765
ENSG00000173614,ENSMUSG00000028992,01:01,961583
ENSG00000162444,ENSMUSG00000028996,01:01,894430
ENSG00000130939,ENSMUSG00000028960,01:01,706988
ENSG00000054523,ENSMUSG00000063077,01:01,752441
ENSG00000142657,ENSMUSG00000028961,01:01,944839
ENSG00000251503,ENSMUSG00000073705,01:01,541887
ENSG00000241563,ENSMUSG00000028971,01:01,854157
ENSG00000160049,ENSMUSG00000028974,01:01,892970
ENSG00000142655,ENSMUSG00000028975,01:01,594402
ENSG00000130940,ENSMUSG00000028977,01:01,944271
ENSG00000120948,ENSMUSG00000041459,01:01,595527
ENSG00000009724,ENSMUSG00000028979,01:01,604667
ENSG00000116649,ENSMUSG00000006442,01:01,911196
ENSG00000171824,ENSMUSG00000017264,01:01,926219
ENSG00000198793,ENSMUSG00000028991,01:01,737930
ENSG00000171819,ENSMUSG00000028989,01:01,599983
ENSG00000120942,ENSMUSG00000047719,01:01,810501
ENSG00000204624,ENSMUSG00000041544,01:01,942074
ENSG00000116661,ENSMUSG00000041556,01:01,936072
ENSG00000116663,ENSMUSG00000055401,01:01,936071
ENSG00000116670,ENSMUSG00000029003,01:01,820944
ENSG00000162490,ENSMUSG00000029005,01:01,783210
ENSG00000177674,ENSMUSG00000029007,01:01,946943
ENSG00000177000,ENSMUSG00000029009,01:01,775155
ENSG00000011021,ENSMUSG00000029016,01:01,923331
ENSG00000175206,ENSMUSG00000041616,01:01,845126
ENSG00000120937,ENSMUSG00000029019,01:01,811394
ENSG00000116685,ENSMUSG00000044496,01:01,955530
ENSG00000083444,ENSMUSG00000019055,01:01,576600
ENSG00000116688,ENSMUSG00000029020,01:01,806651
ENSG00000116691,ENSMUSG00000029022,01:01,866987
ENSG00000120949,ENSMUSG00000028602,01:01,917284
ENSG00000028137,ENSMUSG00000028599,01:01,883965
ENSG00000048707,ENSMUSG00000020220,01:01,706937
ENSG00000162496,ENSMUSG00000066026,01:01,566527
ENSG00000204518,ENSMUSG00000078506,1:m,
ENSG00000204518,ENSMUSG00000070609,1:m,777090
ENSG00000204518,ENSMUSG00000078505,1:m,
ENSG00000204518,ENSMUSG00000078504,1:m,
ENSG00000188984,ENSMUSG00000078507,01:01,777105
ENSG00000157330,ENSMUSG00000028589,01:01,911577
ENSG00000116726,ENSMUSG00000028591,n:1,
ENSG00000116721,ENSMUSG00000070618,n:m,
ENSG00000116721,ENSMUSG00000066688,n:m,
ENSG00000116721,ENSMUSG00000046435,n:m,
ENSG00000116721,ENSMUSG00000078512,n:m,761669
ENSG00000116721,ENSMUSG00000078511,n:m,
ENSG00000116721,ENSMUSG00000073724,n:m,
ENSG00000116721,ENSMUSG00000073723,n:m,
ENSG00000116721,ENSMUSG00000096044,n:m,
ENSG00000116721,ENSMUSG00000107392,n:m,
ENSG00000116721,ENSMUSG00000096230,n:m,
ENSG00000116721,ENSMUSG00000072822,n:m,
ENSG00000116721,ENSMUSG00000072821,n:m,
ENSG00000116721,ENSMUSG00000096259,n:m,
ENSG00000116721,ENSMUSG00000095718,n:m,
ENSG00000116721,ENSMUSG00000074011,n:m,
ENSG00000116721,ENSMUSG00000095074,n:m,
ENSG00000116721,ENSMUSG00000094195,n:m,
ENSG00000116721,ENSMUSG00000095954,n:m,
ENSG00000116721,ENSMUSG00000092166,n:m,
ENSG00000116721,ENSMUSG00000095996,n:m,
ENSG00000116721,ENSMUSG00000070677,n:m,
ENSG00000116721,ENSMUSG00000079423,n:m,
ENSG00000116721,ENSMUSG00000094043,n:m,
ENSG00000116721,ENSMUSG00000096139,n:m,
ENSG00000116721,ENSMUSG00000072814,n:m,
ENSG00000116721,ENSMUSG00000072813,n:m,
ENSG00000116721,ENSMUSG00000094383,n:m,
ENSG00000116721,ENSMUSG00000094474,n:m,
ENSG00000116721,ENSMUSG00000095523,n:m,
ENSG00000116721,ENSMUSG00000094855,n:m,
ENSG00000116721,ENSMUSG00000095666,n:m,
ENSG00000116721,ENSMUSG00000096680,n:m,
ENSG00000116721,ENSMUSG00000094337,n:m,
ENSG00000116721,ENSMUSG00000094722,n:m,
ENSG00000239810,ENSMUSG00000028591,n:1,
ENSG00000120952,ENSMUSG00000070618,n:m,
ENSG00000120952,ENSMUSG00000066688,n:m,
ENSG00000120952,ENSMUSG00000046435,n:m,
ENSG00000120952,ENSMUSG00000078512,n:m,
ENSG00000120952,ENSMUSG00000078511,n:m,
ENSG00000120952,ENSMUSG00000073724,n:m,
ENSG00000120952,ENSMUSG00000073723,n:m,
ENSG00000120952,ENSMUSG00000096044,n:m,
ENSG00000120952,ENSMUSG00000107392,n:m,
ENSG00000120952,ENSMUSG00000096230,n:m,
ENSG00000120952,ENSMUSG00000072822,n:m,
ENSG00000120952,ENSMUSG00000072821,n:m,
ENSG00000120952,ENSMUSG00000096259,n:m,
ENSG00000120952,ENSMUSG00000095718,n:m,
ENSG00000120952,ENSMUSG00000074011,n:m,
ENSG00000120952,ENSMUSG00000095074,n:m,
ENSG00000120952,ENSMUSG00000094195,n:m,
ENSG00000120952,ENSMUSG00000095954,n:m,
ENSG00000120952,ENSMUSG00000092166,n:m,
ENSG00000120952,ENSMUSG00000095996,n:m,
ENSG00000120952,ENSMUSG00000070677,n:m,
ENSG00000120952,ENSMUSG00000079423,n:m,
ENSG00000120952,ENSMUSG00000094043,n:m,
ENSG00000120952,ENSMUSG00000096139,n:m,
ENSG00000120952,ENSMUSG00000072814,n:m,
ENSG00000120952,ENSMUSG00000072813,n:m,
ENSG00000120952,ENSMUSG00000094383,n:m,761687
ENSG00000120952,ENSMUSG00000094474,n:m,
ENSG00000120952,ENSMUSG00000095523,n:m,
ENSG00000120952,ENSMUSG00000094855,n:m,
ENSG00000120952,ENSMUSG00000095666,n:m,
ENSG00000120952,ENSMUSG00000096680,n:m,
ENSG00000120952,ENSMUSG00000094337,n:m,
ENSG00000120952,ENSMUSG00000094722,n:m,
ENSG00000187545,ENSMUSG00000070618,n:m,
ENSG00000187545,ENSMUSG00000066688,n:m,
ENSG00000187545,ENSMUSG00000046435,n:m,
ENSG00000187545,ENSMUSG00000078512,n:m,
ENSG00000187545,ENSMUSG00000078511,n:m,
ENSG00000187545,ENSMUSG00000073724,n:m,
ENSG00000187545,ENSMUSG00000073723,n:m,
ENSG00000187545,ENSMUSG00000096044,n:m,
ENSG00000187545,ENSMUSG00000107392,n:m,
ENSG00000187545,ENSMUSG00000096230,n:m,
ENSG00000187545,ENSMUSG00000072822,n:m,
ENSG00000187545,ENSMUSG00000072821,n:m,
ENSG00000187545,ENSMUSG00000096259,n:m,
ENSG00000187545,ENSMUSG00000095718,n:m,
ENSG00000187545,ENSMUSG00000074011,n:m,
ENSG00000187545,ENSMUSG00000095074,n:m,
ENSG00000187545,ENSMUSG00000094195,n:m,
ENSG00000187545,ENSMUSG00000095954,n:m,
ENSG00000187545,ENSMUSG00000092166,n:m,
ENSG00000187545,ENSMUSG00000095996,n:m,
ENSG00000187545,ENSMUSG00000070677,n:m,
ENSG00000187545,ENSMUSG00000079423,n:m,
ENSG00000187545,ENSMUSG00000094043,n:m,761672
ENSG00000187545,ENSMUSG00000096139,n:m,
ENSG00000187545,ENSMUSG00000072814,n:m,
ENSG00000187545,ENSMUSG00000072813,n:m,
ENSG00000187545,ENSMUSG00000094383,n:m,
ENSG00000187545,ENSMUSG00000094474,n:m,
ENSG00000187545,ENSMUSG00000095523,n:m,
ENSG00000187545,ENSMUSG00000094855,n:m,
ENSG00000187545,ENSMUSG00000095666,n:m,
ENSG00000187545,ENSMUSG00000096680,n:m,
ENSG00000187545,ENSMUSG00000094337,n:m,
ENSG00000187545,ENSMUSG00000094722,n:m,
ENSG00000204510,ENSMUSG00000028591,n:1,
ENSG00000232423,ENSMUSG00000028591,n:1,
ENSG00000274764,ENSMUSG00000041805,n:1,761664
ENSG00000229571,ENSMUSG00000028591,n:1,
ENSG00000280267,ENSMUSG00000028591,n:1,761662
ENSG00000204505,ENSMUSG00000041805,n:1,
ENSG00000279804,ENSMUSG00000070618,n:m,
ENSG00000279804,ENSMUSG00000066688,n:m,
ENSG00000279804,ENSMUSG00000046435,n:m,
ENSG00000279804,ENSMUSG00000078512,n:m,
ENSG00000279804,ENSMUSG00000078511,n:m,
ENSG00000279804,ENSMUSG00000073724,n:m,
ENSG00000279804,ENSMUSG00000073723,n:m,
ENSG00000279804,ENSMUSG00000096044,n:m,
ENSG00000279804,ENSMUSG00000107392,n:m,
ENSG00000279804,ENSMUSG00000096230,n:m,
ENSG00000279804,ENSMUSG00000072822,n:m,
ENSG00000279804,ENSMUSG00000072821,n:m,
ENSG00000279804,ENSMUSG00000096259,n:m,
ENSG00000279804,ENSMUSG00000095718,n:m,
ENSG00000279804,ENSMUSG00000074011,n:m,
ENSG00000279804,ENSMUSG00000095074,n:m,
ENSG00000279804,ENSMUSG00000094195,n:m,
ENSG00000279804,ENSMUSG00000095954,n:m,
ENSG00000279804,ENSMUSG00000092166,n:m,
ENSG00000279804,ENSMUSG00000095996,n:m,
ENSG00000279804,ENSMUSG00000070677,n:m,
ENSG00000279804,ENSMUSG00000079423,n:m,
ENSG00000279804,ENSMUSG00000094043,n:m,
ENSG00000279804,ENSMUSG00000096139,n:m,761663
ENSG00000279804,ENSMUSG00000072814,n:m,
ENSG00000279804,ENSMUSG00000072813,n:m,
ENSG00000279804,ENSMUSG00000094383,n:m,
ENSG00000279804,ENSMUSG00000094474,n:m,
ENSG00000279804,ENSMUSG00000095523,n:m,
ENSG00000279804,ENSMUSG00000094855,n:m,
ENSG00000279804,ENSMUSG00000095666,n:m,
ENSG00000279804,ENSMUSG00000096680,n:m,
ENSG00000279804,ENSMUSG00000094337,n:m,
ENSG00000279804,ENSMUSG00000094722,n:m,
ENSG00000182330,ENSMUSG00000028591,n:1,
ENSG00000204501,ENSMUSG00000028591,n:1,
ENSG00000204481,ENSMUSG00000070618,n:m,
ENSG00000204481,ENSMUSG00000066688,n:m,
ENSG00000204481,ENSMUSG00000046435,n:m,
ENSG00000204481,ENSMUSG00000078512,n:m,
ENSG00000204481,ENSMUSG00000078511,n:m,
ENSG00000204481,ENSMUSG00000073724,n:m,
ENSG00000204481,ENSMUSG00000073723,n:m,
ENSG00000204481,ENSMUSG00000096044,n:m,
ENSG00000204481,ENSMUSG00000107392,n:m,
ENSG00000204481,ENSMUSG00000096230,n:m,
ENSG00000204481,ENSMUSG00000072822,n:m,
ENSG00000204481,ENSMUSG00000072821,n:m,
ENSG00000204481,ENSMUSG00000096259,n:m,
ENSG00000204481,ENSMUSG00000095718,n:m,761692
ENSG00000204481,ENSMUSG00000074011,n:m,
ENSG00000204481,ENSMUSG00000095074,n:m,
ENSG00000204481,ENSMUSG00000094195,n:m,
ENSG00000204481,ENSMUSG00000095954,n:m,
ENSG00000204481,ENSMUSG00000092166,n:m,
ENSG00000204481,ENSMUSG00000095996,n:m,
ENSG00000204481,ENSMUSG00000070677,n:m,
ENSG00000204481,ENSMUSG00000079423,n:m,
ENSG00000204481,ENSMUSG00000094043,n:m,
ENSG00000204481,ENSMUSG00000096139,n:m,
ENSG00000204481,ENSMUSG00000072814,n:m,
ENSG00000204481,ENSMUSG00000072813,n:m,
ENSG00000204481,ENSMUSG00000094383,n:m,
ENSG00000204481,ENSMUSG00000094474,n:m,
ENSG00000204481,ENSMUSG00000095523,n:m,
ENSG00000204481,ENSMUSG00000094855,n:m,
ENSG00000204481,ENSMUSG00000095666,n:m,
ENSG00000204481,ENSMUSG00000096680,n:m,
ENSG00000204481,ENSMUSG00000094337,n:m,
ENSG00000204481,ENSMUSG00000094722,n:m,
ENSG00000204480,ENSMUSG00000094560,1:m,
ENSG00000204480,ENSMUSG00000095503,1:m,
ENSG00000204480,ENSMUSG00000096066,1:m,761688
ENSG00000204480,ENSMUSG00000096236,1:m,
ENSG00000204480,ENSMUSG00000094741,1:m,
ENSG00000204480,ENSMUSG00000095728,1:m,
ENSG00000204479,ENSMUSG00000070618,n:m,
ENSG00000204479,ENSMUSG00000066688,n:m,
ENSG00000204479,ENSMUSG00000046435,n:m,
ENSG00000204479,ENSMUSG00000078512,n:m,
ENSG00000204479,ENSMUSG00000078511,n:m,
ENSG00000204479,ENSMUSG00000073724,n:m,
ENSG00000204479,ENSMUSG00000073723,n:m,
ENSG00000204479,ENSMUSG00000096044,n:m,
ENSG00000204479,ENSMUSG00000107392,n:m,
ENSG00000204479,ENSMUSG00000096230,n:m,
ENSG00000204479,ENSMUSG00000072822,n:m,
ENSG00000204479,ENSMUSG00000072821,n:m,290026
ENSG00000204479,ENSMUSG00000096259,n:m,
ENSG00000204479,ENSMUSG00000095718,n:m,
ENSG00000204479,ENSMUSG00000074011,n:m,
ENSG00000204479,ENSMUSG00000095074,n:m,
ENSG00000204479,ENSMUSG00000094195,n:m,
ENSG00000204479,ENSMUSG00000095954,n:m,
ENSG00000204479,ENSMUSG00000092166,n:m,
ENSG00000204479,ENSMUSG00000095996,n:m,
ENSG00000204479,ENSMUSG00000070677,n:m,
ENSG00000204479,ENSMUSG00000079423,n:m,
ENSG00000204479,ENSMUSG00000094043,n:m,
ENSG00000204479,ENSMUSG00000096139,n:m,
ENSG00000204479,ENSMUSG00000072814,n:m,
ENSG00000204479,ENSMUSG00000072813,n:m,
ENSG00000204479,ENSMUSG00000094383,n:m,
ENSG00000204479,ENSMUSG00000094474,n:m,
ENSG00000204479,ENSMUSG00000095523,n:m,
ENSG00000204479,ENSMUSG00000094855,n:m,
ENSG00000204479,ENSMUSG00000095666,n:m,
ENSG00000204479,ENSMUSG00000096680,n:m,
ENSG00000204479,ENSMUSG00000094337,n:m,
ENSG00000204479,ENSMUSG00000094722,n:m,
ENSG00000162494,ENSMUSG00000028584,01:01,600688
ENSG00000162493,ENSMUSG00000028583,01:01,914409
ENSG00000116731,ENSMUSG00000057637,01:01,897503
ENSG00000189337,ENSMUSG00000040606,01:01,785789
ENSG00000171729,ENSMUSG00000040616,01:01,876615
ENSG00000142621,ENSMUSG00000051435,01:01,604072
ENSG00000142634,ENSMUSG00000040659,01:01,900357
ENSG00000162438,ENSMUSG00000062478,01:01,
ENSG00000142615,ENSMUSG00000058579,n:1,
ENSG00000215704,ENSMUSG00000058579,n:1,598467
ENSG00000116138,ENSMUSG00000040697,01:01,923790
ENSG00000116771,ENSMUSG00000040706,01:01,948813
ENSG00000197312,ENSMUSG00000078515,01:01,899233
ENSG00000116786,ENSMUSG00000028917,01:01,933206
ENSG00000162461,ENSMUSG00000040740,01:01,769063
ENSG00000162460,ENSMUSG00000043085,01:01,912723
ENSG00000162458,ENSMUSG00000006219,01:01,597548
ENSG00000233954,ENSMUSG00000063882,n:1,
ENSG00000065526,ENSMUSG00000040761,01:01,595476
ENSG00000116809,ENSMUSG00000006215,01:01,595746
ENSG00000183888,ENSMUSG00000070637,01:01,851441
ENSG00000173641,ENSMUSG00000006221,01:01,857593
ENSG00000186510,ENSMUSG00000033770,n:m,
ENSG00000186510,ENSMUSG00000006216,n:m,
ENSG00000184908,ENSMUSG00000033770,n:m,923338
ENSG00000184908,ENSMUSG00000006216,n:m,
ENSG00000185519,ENSMUSG00000006218,01:01,870732
ENSG00000142627,ENSMUSG00000006445,01:01,602623
ENSG00000142632,ENSMUSG00000028919,01:01,597927
ENSG00000132881,ENSMUSG00000073733,01:01,901516
ENSG00000037637,ENSMUSG00000028920,01:01,845000
ENSG00000055070,ENSMUSG00000040842,01:01,791558
ENSG00000187144,ENSMUSG00000045004,01:01,920084
ENSG00000157191,ENSMUSG00000028923,01:01,909427
ENSG00000058453,ENSMUSG00000040860,01:01,601426
ENSG00000117122,ENSMUSG00000060572,01:01,901792
ENSG00000159363,ENSMUSG00000036622,01:01,712700
ENSG00000117118,ENSMUSG00000009863,01:01,901455
ENSG00000117115,ENSMUSG00000028927,01:01,714972
ENSG00000142623,ENSMUSG00000025329,01:01,714974
ENSG00000142619,ENSMUSG00000025328,01:01,714973
ENSG00000159339,ENSMUSG00000025330,01:01,714975
ENSG00000276747,ENSMUSG00000040935,01:01,714977
ENSG00000179051,ENSMUSG00000040945,01:01,594050
ENSG00000074964,ENSMUSG00000040964,01:01,892507
ENSG00000117154,ENSMUSG00000040972,01:01,925018
ENSG00000179023,ENSMUSG00000078234,01:01,903212
ENSG00000009709,ENSMUSG00000028736,01:01,600616
ENSG00000179002,ENSMUSG00000028738,01:01,926918
ENSG00000159423,ENSMUSG00000028737,01:01,530735
ENSG00000169991,ENSMUSG00000041025,01:01,
ENSG00000127481,ENSMUSG00000066036,01:01,929833
ENSG00000127463,ENSMUSG00000078517,01:01,707105
ENSG00000053372,ENSMUSG00000028741,01:01,889458
ENSG00000053371,ENSMUSG00000028743,01:01,879854
ENSG00000040487,ENSMUSG00000028744,01:01,922319
ENSG00000077549,ENSMUSG00000028745,01:01,537097
ENSG00000173436,ENSMUSG00000050608,n:1,
ENSG00000270136,ENSMUSG00000050608,n:1,
ENSG00000158747,ENSMUSG00000041120,01:01,923869
ENSG00000158748,ENSMUSG00000028747,01:01,850025
ENSG00000162542,ENSMUSG00000041143,01:01,738376
ENSG00000178828,ENSMUSG00000070661,01:01,914730
ENSG00000169914,ENSMUSG00000041161,01:01,803946
ENSG00000188784,ENSMUSG00000028751,01:01,931149
ENSG00000188257,ENSMUSG00000058908,01:01,931152
ENSG00000127472,ENSMUSG00000041193,01:01,931151
ENSG00000117215,ENSMUSG00000041202,01:01,931157
ENSG00000158786,ENSMUSG00000028749,01:01,931147
ENSG00000187980,ENSMUSG00000028750,01:01,931154
ENSG00000162543,ENSMUSG00000043621,01:01,882216
ENSG00000158816,ENSMUSG00000028753,01:01,879086
ENSG00000162545,ENSMUSG00000046447,01:01,886326
ENSG00000090432,ENSMUSG00000041241,01:01,912594
ENSG00000183114,ENSMUSG00000078235,01:01,898167
ENSG00000158825,ENSMUSG00000028755,01:01,899888
ENSG00000158828,ENSMUSG00000028756,01:01,787635
ENSG00000244038,ENSMUSG00000028757,01:01,870715
ENSG00000117245,ENSMUSG00000028758,01:01,595298
ENSG00000189410,ENSMUSG00000045349,01:01,901790
ENSG00000127483,ENSMUSG00000028759,01:01,
ENSG00000075151,ENSMUSG00000028760,01:01,597500
ENSG00000117298,ENSMUSG00000057530,01:01,942907
ENSG00000162551,ENSMUSG00000028766,01:01,745712
ENSG00000076864,ENSMUSG00000041351,01:01,764686
ENSG00000090686,ENSMUSG00000043411,01:01,811225
ENSG00000142798,ENSMUSG00000028763,01:01,598979
ENSG00000219073,ENSMUSG00000078520,1:m,
ENSG00000219073,ENSMUSG00000023433,1:m,600230
ENSG00000070831,ENSMUSG00000006699,01:01,564951
ENSG00000162552,ENSMUSG00000036856,01:01,938311
ENSG00000070886,ENSMUSG00000028661,01:01,599121
ENSG00000173372,ENSMUSG00000036887,01:01,832277
ENSG00000159189,ENSMUSG00000036896,01:01,597687
ENSG00000173369,ENSMUSG00000036905,01:01,595871
ENSG00000133216,ENSMUSG00000028664,01:01,597705
ENSG00000215906,ENSMUSG00000070683,01:01,794986
ENSG00000227868,ENSMUSG00000036921,01:01,827776
ENSG00000004487,ENSMUSG00000036940,01:01,904594
ENSG00000169641,ENSMUSG00000001089,01:01,930889
ENSG00000179546,ENSMUSG00000070687,01:01,603592
ENSG00000125944,ENSMUSG00000066037,01:01,594991
ENSG00000125945,ENSMUSG00000051351,01:01,601131
ENSG00000204219,ENSMUSG00000001604,01:01,904418
ENSG00000088280,ENSMUSG00000036995,01:01,596700
ENSG00000007968,ENSMUSG00000018983,01:01,833096
ENSG00000117318,ENSMUSG00000007872,01:01,946490
ENSG00000142676,ENSMUSG00000058064,1:m,
ENSG00000142676,ENSMUSG00000059291,1:m,960870
ENSG00000011007,ENSMUSG00000028668,01:01,902199
ENSG00000057757,ENSMUSG00000028669,01:01,901082
ENSG00000011009,ENSMUSG00000028670,01:01,919745
ENSG00000117308,ENSMUSG00000028671,01:01,593576
ENSG00000117305,ENSMUSG00000028672,01:01,879162
ENSG00000179163,ENSMUSG00000028673,01:01,832629
ENSG00000188822,ENSMUSG00000062585,01:01,596294
ENSG00000189266,ENSMUSG00000028675,01:01,340247
ENSG00000188529,ENSMUSG00000028676,01:01,596465
ENSG00000142661,ENSMUSG00000037139,01:01,597835
ENSG00000142677,ENSMUSG00000037157,01:01,881685
ENSG00000185436,ENSMUSG00000062157,01:01,888554
ENSG00000158055,ENSMUSG00000037188,01:01,847973
ENSG00000001460,ENSMUSG00000028801,01:01,892320
ENSG00000001461,ENSMUSG00000028803,01:01,566083
ENSG00000117602,ENSMUSG00000059713,01:01,944133
ENSG00000184454,ENSMUSG00000043924,01:01,891145
ENSG00000133226,ENSMUSG00000028809,01:01,594220
ENSG00000169504,ENSMUSG00000037242,01:01,927022
ENSG00000020633,ENSMUSG00000070691,01:01,899310
ENSG00000117614,ENSMUSG00000028821,01:01,948478
ENSG00000117616,ENSMUSG00000037266,01:01,596464
ENSG00000187010,ENSMUSG00000028825,n:1,
ENSG00000183726,ENSMUSG00000028822,01:01,717203
ENSG00000188672,ENSMUSG00000028825,n:1,550683
ENSG00000204178,ENSMUSG00000028826,01:01,595017
ENSG00000157978,ENSMUSG00000037295,01:01,898094
ENSG00000117643,ENSMUSG00000037306,01:01,722677
ENSG00000162430,ENSMUSG00000050989,01:01,910045
ENSG00000117640,ENSMUSG00000046671,01:01,298287
ENSG00000127423,ENSMUSG00000078521,01:01,837106
ENSG00000182749,ENSMUSG00000037348,01:01,752506
ENSG00000117632,ENSMUSG00000028832,01:01,901529
ENSG00000158006,ENSMUSG00000037366,01:01,570663
ENSG00000158008,ENSMUSG00000028838,01:01,914418
