,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
18,TAB3,MAP3K7,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
19,MAP3K7,TAB3,Affinity Capture-MS,physical,Li S (2011),PUBMED:21903422,High Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
20,TAB3,MAP3K7,Reconstituted Complex,physical,Mendoza H (2008),PUBMED:18021073,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
21,TAB3,TAB1,Reconstituted Complex,physical,Mendoza H (2008),PUBMED:18021073,Low Throughput,244933,14952487872,9606,9606,129216,115717,6,3,4
22,TAB3,BECN1,Affinity Capture-Western,physical,Criollo A (2011),PUBMED:22081109,Low Throughput,243442,14759826816,9606,9606,129216,114226,3,2,2
23,TAB3,MAP3K7,Affinity Capture-Western,physical,Criollo A (2011),PUBMED:22081109,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
24,TAB3,UBC,Co-crystal Structure,physical,Sato Y (2009),PUBMED:19927120,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
25,TAB3,UBC,Reconstituted Complex,physical,Kanayama A (2004),PUBMED:15327770,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
26,TAB3,TRAF6,Reconstituted Complex,physical,Kanayama A (2004),PUBMED:15327770,Low Throughput,242257,14606705856,9606,9606,129216,113041,4,2,4
27,TAB3,IKBKG,Reconstituted Complex,physical,Kanayama A (2004),PUBMED:15327770,Low Throughput,243305,14742124224,9606,9606,129216,114089,2,1,2
28,RBCK1,TAB3,Affinity Capture-Western,physical,Tian Y (2007),PUBMED:17449468,Low Throughput,245078,14971224192,9606,9606,115862,129216,1,1,1
29,SMAD7,TAB3,Affinity Capture-Western,physical,Hong S (2007),PUBMED:17384642,Low Throughput,239483,14248260672,9606,9606,110267,129216,2,1,1
30,TAB3,SMAD7,Affinity Capture-Western,physical,Hong S (2007),PUBMED:17384642,Low Throughput,239483,14248260672,9606,9606,129216,110267,2,1,1
31,TAB3,MAP3K7,Affinity Capture-Western,physical,Hong S (2007),PUBMED:17384642,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
32,MAP3K7,TAB3,Affinity Capture-MS,physical,Minoda Y (2009),PUBMED:19232515,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
33,TRIM5,TAB3,Affinity Capture-Western,physical,Pertel T (2011),PUBMED:21512573,Low Throughput,253707,16086229056,9606,9606,124491,129216,1,1,1
34,TAB3,BECN1,Affinity Capture-Western,physical,Takaesu G (2012),PUBMED:21976705,Low Throughput,243442,14759826816,9606,9606,129216,114226,3,2,2
35,TAB3,BECN1,Co-localization,physical,Takaesu G (2012),PUBMED:21976705,Low Throughput,243442,14759826816,9606,9606,129216,114226,3,2,2
36,TAB3,ATG5,Co-localization,physical,Takaesu G (2012),PUBMED:21976705,Low Throughput,244075,14841620544,9606,9606,129216,114859,1,1,1
37,TAB3,ATG13,Affinity Capture-Western,physical,Takaesu G (2012),PUBMED:21976705,Low Throughput,244336,14875345920,9606,9606,129216,115120,1,1,1
38,WDR34,TAB3,Two-hybrid,physical,Gao D (2009),PUBMED:19521662,Low Throughput,253856,16105482240,9606,9606,124640,129216,2,2,1
39,TAB3,WDR34,Affinity Capture-Western,physical,Gao D (2009),PUBMED:19521662,Low Throughput,253856,16105482240,9606,9606,129216,124640,2,2,1
40,TAB3,TRIM38,Affinity Capture-Western,physical,Hu MM (2014),PUBMED:24434549,Low Throughput,244954,14955201408,9606,9606,129216,115738,2,1,1
41,TRIM38,TAB3,Affinity Capture-Western,physical,Hu MM (2014),PUBMED:24434549,Low Throughput,244954,14955201408,9606,9606,115738,129216,2,1,1
42,PIN1,TAB3,Two-hybrid,physical,Rolland T (2014),PUBMED:25416956,High Throughput,240533,14383937472,9606,9606,111317,129216,1,1,1
43,MAP3K7CL,TAB3,Two-hybrid,physical,Rolland T (2014),PUBMED:25416956,High Throughput,250455,15666018624,9606,9606,121239,129216,3,1,3
44,TAB3,CEP57L1,Two-hybrid,physical,Rolland T (2014),PUBMED:25416956,High Throughput,259414,16823664768,9606,9606,129216,130198,1,1,1
45,IKBKG,TAB3,Reconstituted Complex,physical,Emmerich CH (2013),PUBMED:23986494,Low Throughput,243305,14742124224,9606,9606,114089,129216,2,1,2
46,MAP3K7,TAB3,Affinity Capture-Western,physical,Liu R (2014),PUBMED:24912525,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
47,TAB3,UBC,Reconstituted Complex,physical,Wang J (2015),PUBMED:25642820,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
48,ESR1,TAB3,Affinity Capture-MS,physical,Okada M (2015),PUBMED:26389696,High Throughput,237619,14007402048,9606,9606,108403,129216,1,1,1
49,TAB3,RNF4,Affinity Capture-Western,physical,Tan B (2015),PUBMED:26299341,Low Throughput,241190,14468832384,9606,9606,129216,111974,1,1,1
50,TAB3,PBXIP1,Affinity Capture-Western,physical,Shostak K (2014),PUBMED:24488098,Low Throughput,250702,15697934976,9606,9606,129216,121486,1,1,1
51,TAB3,MAP3K7,Affinity Capture-Western,physical,Shinohara H (2016),PUBMED:27497262,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
52,TAB3,IKBKB,Affinity Capture-Western,physical,Shinohara H (2016),PUBMED:27497262,Low Throughput,238983,14183652672,9606,9606,129216,109767,1,1,1
53,TAB3,TRAF6,Affinity Capture-Western,physical,Shinohara H (2016),PUBMED:27497262,Low Throughput,242257,14606705856,9606,9606,129216,113041,4,2,4
54,TAB3,CARD11,Affinity Capture-Western,physical,Shinohara H (2016),PUBMED:27497262,Low Throughput,253289,16032216768,9606,9606,129216,124073,1,1,1
55,TAB1,TAB3,Affinity Capture-MS,physical,St-Denis N (2016),PUBMED:27880917,High Throughput,244933,14952487872,9606,9606,115717,129216,6,3,4
56,EMILIN1,TAB3,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,245508,15026787072,9606,9606,116292,129216,1,1,1
57,UBC,TAB3,Reconstituted Complex,physical,Zhang X (2017),PUBMED:28190767,High Throughput|Low Throughput,242380,14622599424,9606,9606,113164,129216,7,3,6
58,CYLD,TAB3,Affinity Capture-MS,physical,Elliott PR (2016),PUBMED:27591049,High Throughput,237136,13944990720,9606,9606,107920,129216,1,1,1
59,NLRP6,TAB3,Affinity Capture-Western,physical,Lin Y (2017),PUBMED:28295271,Low Throughput,257330,16554378624,9606,9606,128114,129216,1,1,1
60,MAP3K7,TAB3,Affinity Capture-Western,physical,Zhang J (2017),PUBMED:28507161,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
61,TNF,TAB3,Affinity Capture-MS,physical,Wagner SA (2016),PUBMED:27307491,High Throughput,242195,14598694464,9606,9606,112979,129216,1,1,1
62,RNF31,TAB3,Affinity Capture-MS,physical,Kupka S (2016),PUBMED:27545878,High Throughput,249605,15556185024,9606,9606,120389,129216,1,1,1
63,SNAI1,TAB3,Affinity Capture-MS,physical,Zhu R (2018),PUBMED:29331416,High Throughput,241715,14536670784,9606,9606,112499,129216,1,1,1
64,OGT,TAB3,Biochemical Activity,physical,Tao T (2016),PUBMED:27009840,Low Throughput,243265,14736955584,9606,9606,114049,129216,1,1,1
65,TAB3,TRAF6,Affinity Capture-Western,physical,Tao T (2016),PUBMED:27009840,Low Throughput,242257,14606705856,9606,9606,129216,113041,4,2,4
66,TAB3,UBC,Affinity Capture-Western,physical,Tao T (2016),PUBMED:27009840,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
67,TAB3,MAP3K7,Affinity Capture-Western,physical,Tao T (2016),PUBMED:27009840,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
68,TAB3,PPIL3,Affinity Capture-Western,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,249036,15482661120,9606,9606,129216,119820,5,3,1
69,PPIL3,TAB3,Affinity Capture-Western,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,249036,15482661120,9606,9606,119820,129216,5,3,1
70,TAB3,MAP3K7,Affinity Capture-Western,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
71,PPIL3,TAB3,Reconstituted Complex,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,249036,15482661120,9606,9606,119820,129216,5,3,1
72,TAB3,PPIL3,Reconstituted Complex,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,249036,15482661120,9606,9606,129216,119820,5,3,1
73,PPIL3,TAB3,Protein-peptide,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,249036,15482661120,9606,9606,119820,129216,5,3,1
74,TAB3,UBC,Reconstituted Complex,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
75,TAB3,UBC,Affinity Capture-Western,physical,Sheng C (2018),PUBMED:30348973,Low Throughput,242380,14622599424,9606,9606,129216,113164,7,3,6
76,BICD1,TAB3,Proximity Label-MS,physical,Redwine WB (2017),PUBMED:28718761,High Throughput,236321,13839679680,9606,9606,107105,129216,1,1,1
77,BICD2,TAB3,Proximity Label-MS,physical,Redwine WB (2017),PUBMED:28718761,High Throughput,246107,15104187456,9606,9606,116891,129216,1,1,1
78,YAP1,TAB3,Affinity Capture-MS,physical,Zhang Z (2019),PUBMED:30472188,High Throughput,244900,14948223744,9606,9606,115684,129216,1,1,1
79,TAB3,MAP3K7,Affinity Capture-Western,physical,Lei CQ (2019),PUBMED:31127032,Low Throughput,241964,14568845568,9606,9606,129216,112748,17,3,13
80,MAP3K7,TAB3,Reconstituted Complex,physical,Lei CQ (2019),PUBMED:31127032,Low Throughput,241964,14568845568,9606,9606,112748,129216,17,3,13
81,MAP3K7CL,TAB3,Two-hybrid,physical,Luck K (2020),PUBMED:32296183,High Throughput,250455,15666018624,9606,9606,121239,129216,3,1,3
82,TAB3,USP15,Affinity Capture-Western,physical,Zhou Q (2020),PUBMED:31903660,Low Throughput,244499,14896408128,9606,9606,129216,115283,2,1,1
83,USP15,TAB3,Affinity Capture-Western,physical,Zhou Q (2020),PUBMED:31903660,Low Throughput,244499,14896408128,9606,9606,115283,129216,2,1,1
84,NBR1,TAB3,Affinity Capture-Western,physical,Zhou Q (2020),PUBMED:31903660,Low Throughput,239469,14246451648,9606,9606,110253,129216,1,1,1
