,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
21,FADD,CASP10,Reconstituted Complex,physical,Srinivasula SM (1997),PUBMED:9228018,Low Throughput,221595,12263804486,9606,9606,114302,107293,9,5,6
22,CFLAR,CASP10,Reconstituted Complex,physical,Srinivasula SM (1997),PUBMED:9228018,Low Throughput,221657,12270456652,9606,9606,114364,107293,7,4,5
23,CASP10,FADD,Affinity Capture-Western,physical,Srinivasula SM (1997),PUBMED:9228018,Low Throughput,221595,12263804486,9606,9606,107293,114302,9,5,6
24,CASP10,CFLAR,Affinity Capture-Western,physical,Srinivasula SM (1997),PUBMED:9228018,Low Throughput,221657,12270456652,9606,9606,107293,114364,7,4,5
25,CFLAR,CASP10,Two-hybrid,physical,Srinivasula SM (1997),PUBMED:9228018,Low Throughput,221657,12270456652,9606,9606,114364,107293,7,4,5
26,CASP10,TRAF1,Biochemical Activity,physical,Leo E (2001),PUBMED:11098060,Low Throughput,220330,12128078841,9606,9606,107293,113037,1,1,1
27,FAS,CASP10,Affinity Capture-Western,physical,MacFarlane M (1997),PUBMED:9325248,Low Throughput,214144,11464364343,9606,9606,106851,107293,3,2,3
28,TNFRSF10A,CASP10,Affinity Capture-Western,physical,MacFarlane M (1997),PUBMED:9325248,Low Throughput,221618,12266272225,9606,9606,114325,107293,1,1,1
29,TNFRSF10B,CASP10,Affinity Capture-Western,physical,MacFarlane M (1997),PUBMED:9325248,Low Throughput,221616,12266057639,9606,9606,114323,107293,2,2,2
30,CASP10,RYBP,Affinity Capture-Western,physical,Zheng L (2001),PUBMED:11395500,Low Throughput,224290,12552959121,9606,9606,107293,116997,2,1,1
31,RYBP,CASP10,Affinity Capture-Western,physical,Zheng L (2001),PUBMED:11395500,Low Throughput,224290,12552959121,9606,9606,116997,107293,2,1,1
32,CASP10,FADD,FRET,physical,Wang J (2001),PUBMED:11717445,Low Throughput,221595,12263804486,9606,9606,107293,114302,9,5,6
33,CASP8,CASP10,Biochemical Activity,physical,Guo Y (2002),PUBMED:11832478,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
34,CASP10,RIPK1,Affinity Capture-Western,physical,Chaudhary PM (2000),PUBMED:11002417,Low Throughput,221567,12260800282,9606,9606,107293,114274,1,1,1
35,CASP10,MAP3K14,Affinity Capture-Western,physical,Chaudhary PM (2000),PUBMED:11002417,Low Throughput,221780,12283653691,9606,9606,107293,114487,1,1,1
36,CASP10,CASP2,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214578,11510929505,9606,9606,107293,107285,1,1,1
37,CASP10,CASP4,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214580,11511144091,9606,9606,107293,107287,1,1,1
38,CASP10,CASP3,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214579,11511036798,9606,9606,107293,107286,1,1,1
39,CASP10,CASP7,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214583,11511465970,9606,9606,107293,107290,1,1,1
40,CASP10,CASP10,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214586,11511787849,9606,9606,107293,107293,1,1,1
41,CASP10,CASP8,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214584,11511573263,9606,9606,107293,107291,9,3,7
42,CASP10,CASP9,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214585,11511680556,9606,9606,107293,107292,1,1,1
43,CASP10,CASP6,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214582,11511358677,9606,9606,107293,107289,1,1,1
44,CASP10,CASP1,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214577,11510822212,9606,9606,107293,107284,1,1,1
45,CASP8,CASP10,Biochemical Activity,physical,Srinivasula SM (1996),PUBMED:8962078,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
46,CASP10,DEDD2,Affinity Capture-Western,physical,Alcivar A (2003),PUBMED:12527898,Low Throughput,235131,13716122534,9606,9606,107293,127838,1,1,1
47,CASP10,DEDD,Affinity Capture-Western,physical,Alcivar A (2003),PUBMED:12527898,Low Throughput,221920,12298674711,9606,9606,107293,114627,1,1,1
48,CASP14,CASP10,Affinity Capture-Western,physical,Hu S (1998),PUBMED:9792675,Low Throughput,224409,12565726988,9606,9606,117116,107293,1,1,1
49,BFAR,CASP10,Affinity Capture-Western,physical,Zhang H (2000),PUBMED:10716992,Low Throughput,226728,12814539455,9606,9606,119435,107293,1,1,1
50,CASP10,CASP8AP2,Two-hybrid,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,222608,12372492295,9606,9606,107293,115315,1,1,1
51,CASP10,FADD,Two-hybrid,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,221595,12263804486,9606,9606,107293,114302,9,5,6
52,CASP10,RNF34,Two-hybrid,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,230462,13215171517,9606,9606,107293,123169,2,2,1
53,CASP8,CASP10,Affinity Capture-Western,physical,Sinha SK (2004),PUBMED:15280356,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
54,CASP8,CASP10,Affinity Capture-Western,physical,Lee EW (2012),PUBMED:22864571,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
55,CASP10,RB1,Biochemical Activity,physical,Lemaire C (2005),PUBMED:15735701,Low Throughput,219153,12001794980,9606,9606,107293,111860,1,1,1
56,CASP10,RIOK3,Affinity Capture-Western,physical,Wang J (2011),PUBMED:21988832,Low Throughput,221602,12264555537,9606,9606,107293,114309,2,2,1
57,CASP10,ECE2,Two-hybrid,physical,Wang J (2011),PUBMED:21988832,High Throughput,222360,12345883631,9606,9606,107293,115067,1,1,1
58,CASP10,NFKBIL1,Two-hybrid,physical,Wang J (2011),PUBMED:21988832,High Throughput,218155,11894716566,9606,9606,107293,110862,1,1,1
59,CASP10,PHF20L1,Two-hybrid,physical,Wang J (2011),PUBMED:21988832,High Throughput,226587,12799411142,9606,9606,107293,119294,1,1,1
60,CASP10,RIOK3,Two-hybrid,physical,Wang J (2011),PUBMED:21988832,High Throughput,221602,12264555537,9606,9606,107293,114309,2,2,1
61,CASP10,OIP5,Two-hybrid,physical,Wang J (2011),PUBMED:21988832,High Throughput,223760,12496093831,9606,9606,107293,116467,1,1,1
62,CASP10,PRDX6,Reconstituted Complex,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,107293,114956,6,4,1
63,CASP10,FADD,Reconstituted Complex,physical,Choi H (2011),PUBMED:20829884,Low Throughput,221595,12263804486,9606,9606,107293,114302,9,5,6
64,CASP10,PRDX6,Affinity Capture-Western,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,107293,114956,6,4,1
65,PRDX6,CASP10,Reconstituted Complex,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,114956,107293,6,4,1
66,FADD,CASP10,Reconstituted Complex,physical,Choi H (2011),PUBMED:20829884,Low Throughput,221595,12263804486,9606,9606,114302,107293,9,5,6
67,PRDX6,CASP10,Affinity Capture-Western,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,114956,107293,6,4,1
68,CASP10,PRDX6,Two-hybrid,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,107293,114956,6,4,1
69,PRDX6,CASP10,PCA,physical,Choi H (2011),PUBMED:20829884,Low Throughput,222249,12333974108,9606,9606,114956,107293,6,4,1
70,XIAP,CASP10,Two-hybrid,physical,Rolland T (2014),PUBMED:25416956,High Throughput,214121,11461896604,9606,9606,106828,107293,3,2,3
71,CASP8,CASP10,Affinity Capture-Western,physical,Feoktistova M (2011),PUBMED:21737330,Low Throughput,214584,11511573263,9606,9606,107291,107293,9,3,7
72,CFLAR,CASP10,Affinity Capture-Western,physical,Feoktistova M (2011),PUBMED:21737330,Low Throughput,221657,12270456652,9606,9606,114364,107293,7,4,5
73,RNF34,CASP10,Affinity Capture-Western,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,230462,13215171517,9606,9606,123169,107293,2,2,1
74,XIAP,CASP10,Affinity Capture-Western,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,214121,11461896604,9606,9606,106828,107293,3,2,3
75,BIRC2,CASP10,Affinity Capture-Western,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,214119,11461682018,9606,9606,106826,107293,1,1,1
76,BIRC3,CASP10,Affinity Capture-Western,physical,McDonald ER (2004),PUBMED:15069192,Low Throughput,214120,11461789311,9606,9606,106827,107293,1,1,1
77,CFLAR,CASP10,Co-localization,physical,Chen TC (2014),PUBMED:25241761,High Throughput,221657,12270456652,9606,9606,114364,107293,7,4,5
78,CASP10,XIAP,Two-hybrid,physical,Sahni N (2015),PUBMED:25910212,High Throughput,214121,11461896604,9606,9606,107293,106828,3,2,3
79,SERPINB9,CASP10,Affinity Capture-Western,physical,Kummer JA (2007),PUBMED:17479112,Low Throughput,218583,11940637970,9606,9606,111290,107293,1,1,1
80,PSMD14,CASP10,Affinity Capture-MS,physical,Wang B (2019),PUBMED:30745168,High Throughput,222801,12393199844,9606,9606,115508,107293,1,1,1
