,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Experimental.System,Experimental.System.Type,Author,Publication.Source,Throughput,BioGRID_ID_sumAB,BioGRID_ID_productAB,Organism.ID.Interactor.A,Organism.ID.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Evidence_count,experimental_system_count,publication_count
33,CDK16,ICK,Affinity Capture-MS,physical,Huttlin EL (2015),PUBMED:26186194,High Throughput,227681,12952442158,9606,9606,111154,116527,2,1,2
34,APP,ICK,Reconstituted Complex,physical,Virok DP (2011),PUBMED:21244100,High Throughput,223375,12450676896,9606,9606,106848,116527,2,1,2
35,CDK16,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,227681,12952442158,9606,9606,111154,116527,2,1,2
36,CKS1B,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,224109,12536207714,9606,9606,107582,116527,1,1,1
37,CDK14,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,227766,12962346953,9606,9606,111239,116527,2,1,2
38,FAM217B,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,238531,14216760108,9606,9606,122004,116527,2,1,2
39,DEPDC1,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,237301,14073431898,9606,9606,120774,116527,1,1,1
40,MSI2,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,242400,14667603071,9606,9606,125873,116527,2,1,2
41,FCGR3B,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,225036,12644228243,9606,9606,108509,116527,1,1,1
42,SLC35A1,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,232337,13494991870,9606,9606,115810,116527,1,1,1
43,LSM14B,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,243779,14828293804,9606,9606,127252,116527,2,1,2
44,A4GNT,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,235857,13905166910,9606,9606,119330,116527,2,1,2
45,NR0B2,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,230539,13285476324,9606,9606,114012,116527,2,1,2
46,MGC39584,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,253651,15978648348,9606,9606,137124,116527,2,1,2
47,A4GALT,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,236352,13962847775,9606,9606,119825,116527,2,1,2
48,IL1R1,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,226297,12791168790,9606,9606,109770,116527,1,1,1
49,CENPL,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,241392,14550143855,9606,9606,124865,116527,2,1,2
50,CDK1,ICK,Affinity Capture-MS,physical,Huttlin EL (2017),PUBMED:28514442,High Throughput,223947,12517330340,9606,9606,107420,116527,2,1,2
51,ICK,SMYD2,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,237801,14131695398,9606,9606,116527,121274,1,1,1
52,MAK,ICK,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,226818,12851879357,9606,9606,110291,116527,1,1,1
53,KIAA0556,ICK,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,233378,13616296477,9606,9606,116851,116527,1,1,1
54,IFT88,ICK,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,230298,13257393317,9606,9606,113771,116527,1,1,1
55,ICK,IFT172,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,234116,13702293403,9606,9606,116527,117589,1,1,1
56,CLUAP1,ICK,Affinity Capture-MS,physical,Boldt K (2016),PUBMED:27173435,High Throughput,233221,13598001738,9606,9606,116694,116527,1,1,1
57,HNRNPL,ICK,Affinity Capture-RNA,physical,Fei T (2017),PUBMED:28611215,High Throughput,225959,12751782664,9606,9606,109432,116527,1,1,1
58,FBXO7,ICK,Biochemical Activity,physical,Teixeira FR (2016),PUBMED:27503909,High Throughput,233853,13671646802,9606,9606,117326,116527,1,1,1
59,HEXIM1,ICK,Affinity Capture-MS,physical,Faust TB (2018),PUBMED:29845934,High Throughput,232387,13500818220,9606,9606,115860,116527,1,1,1
60,LARP7,ICK,Affinity Capture-MS,physical,Faust TB (2018),PUBMED:29845934,High Throughput,236146,13938843213,9606,9606,119619,116527,1,1,1
61,NIN,ICK,Proximity Label-MS,physical,Redwine WB (2017),PUBMED:28718761,High Throughput,235899,13910061044,9606,9606,119372,116527,1,1,1
62,SPTAN1,ICK,Proximity Label-MS,physical,Fasci D (2018),PUBMED:30021884,High Throughput,229114,13119425349,9606,9606,112587,116527,1,1,1
