#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,5,135,1.78,5.22e-07,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000481570","MALT1,RC3H1,ZC3H12A,RC3H2,TNFAIP3"
GO:0045581,negative regulation of T cell differentiation,4,41,2.2,5.22e-07,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025","RC3H1,ZC3H12A,RC3H2,CYLD"
GO:0050863,regulation of T cell activation,6,302,1.51,5.22e-07,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025","MALT1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD"
GO:0051250,negative regulation of lymphocyte activation,5,135,1.78,5.22e-07,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RC3H1,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0070647,protein modification by small protein conjugation or removal,8,945,1.14,5.22e-07,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0002376,immune system process,10,2370,0.84,1.06e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0002697,regulation of immune effector process,6,362,1.43,1.06e-06,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000481570","MALT1,RC3H1,BCL10,ZC3H12A,RC3H2,TNFAIP3"
GO:0002758,innate immune response-activating signal transduction,5,168,1.69,1.06e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,CYLD,TNFAIP3"
GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,5,167,1.69,1.06e-06,"9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000481570,9606.ENSP00000482657","RBCK1,BCL10,ZC3H12A,TNFAIP3,MAP3K14"
GO:2000320,negative regulation of T-helper 17 cell differentiation,3,9,2.74,1.06e-06,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:2000628,regulation of miRNA metabolic process,3,10,2.69,1.19e-06,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:0051090,regulation of DNA-binding transcription factor activity,6,403,1.39,1.46e-06,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,RBCK1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:1902531,regulation of intracellular signal transduction,9,1764,0.92,1.48e-06,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:1901224,positive regulation of NIK/NF-kappaB signaling,4,69,1.98,1.81e-06,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774","MALT1,RBCK1,RC3H1,RC3H2"
GO:0002683,negative regulation of immune system process,6,425,1.36,1.87e-06,"9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0002831,regulation of response to biotic stimulus,6,426,1.36,1.87e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0007249,I-kappaB kinase/NF-kappaB signaling,4,70,1.97,1.87e-06,"9606.ENSP00000221452,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000482657","RELB,RBCK1,BCL10,MAP3K14"
GO:1903320,regulation of protein modification by small protein conjugation or removal,5,220,1.57,2.76e-06,"9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000481570","N4BP1,MALT1,BCL10,ZC3H12A,TNFAIP3"
GO:0032088,negative regulation of NF-kappaB transcription factor activity,4,80,1.91,2.9e-06,"9606.ENSP00000348632,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RBCK1,ZC3H12A,CYLD,TNFAIP3"
GO:0042110,T cell activation,5,225,1.56,2.97e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025","RELB,MALT1,RC3H1,RC3H2,CYLD"
GO:0030098,lymphocyte differentiation,5,226,1.56,2.98e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025","RELB,MALT1,RC3H1,RC3H2,CYLD"
GO:0009967,positive regulation of signal transduction,8,1493,0.94,7e-06,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,MAP3K14"
GO:1902533,positive regulation of intracellular signal transduction,7,959,1.08,7e-06,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,MAP3K14"
GO:0007166,cell surface receptor signaling pathway,9,2198,0.82,7.09e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000482657","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,MAP3K14"
GO:0001782,B cell homeostasis,3,24,2.31,7.69e-06,"9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570","RC3H1,RC3H2,TNFAIP3"
GO:0042093,T-helper cell differentiation,3,26,2.27,9.06e-06,"9606.ENSP00000221452,9606.ENSP00000356669,9606.ENSP00000362774","RELB,RC3H1,RC3H2"
GO:0002520,immune system development,6,601,1.21,9.45e-06,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,RC3H1,RC3H2,CYLD,TNFAIP3"
GO:0001817,regulation of cytokine production,6,615,1.2,1.04e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0048523,negative regulation of cellular process,11,4454,0.6,1.06e-05,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000378400,9606.ENSP00000392025,9606.ENSP00000481570","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,LIMA1,CYLD,TNFAIP3"
GO:0016567,protein ubiquitination,6,645,1.18,1.26e-05,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362774,9606.ENSP00000481570","MALT1,RBCK1,RC3H1,BCL10,RC3H2,TNFAIP3"
GO:0030217,T cell differentiation,4,131,1.7,1.26e-05,"9606.ENSP00000221452,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025","RELB,RC3H1,RC3H2,CYLD"
GO:0042098,T cell proliferation,3,31,2.2,1.26e-05,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362774","MALT1,RC3H1,RC3H2"
GO:0043900,regulation of multi-organism process,6,653,1.18,1.3e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0050777,negative regulation of immune response,4,136,1.68,1.38e-05,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000481570","RC3H1,ZC3H12A,RC3H2,TNFAIP3"
GO:0031347,regulation of defense response,6,676,1.16,1.53e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0038061,NIK/NF-kappaB signaling,3,35,2.15,1.65e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000482657","RELB,MALT1,MAP3K14"
GO:0051707,response to other organism,7,1173,0.99,1.79e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3,MAP3K14"
GO:2001236,regulation of extrinsic apoptotic signaling pathway,4,158,1.62,2.08e-05,"9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RBCK1,BCL10,CYLD,TNFAIP3"
GO:0006952,defense response,7,1234,0.97,2.3e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3,MAP3K14"
GO:0043902,positive regulation of multi-organism process,5,394,1.32,2.3e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,CYLD,TNFAIP3"
GO:0032480,negative regulation of type I interferon production,3,43,2.06,2.44e-05,"9606.ENSP00000221452,9606.ENSP00000392025,9606.ENSP00000481570","RELB,CYLD,TNFAIP3"
GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,3,51,1.98,3.83e-05,"9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000392025","RBCK1,BCL10,CYLD"
GO:0031396,regulation of protein ubiquitination,4,192,1.53,3.98e-05,"9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000481570","N4BP1,MALT1,BCL10,TNFAIP3"
GO:0048872,homeostasis of number of cells,4,193,1.53,4.02e-05,"9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RC3H1,RC3H2,CYLD,TNFAIP3"
GO:0061470,T follicular helper cell differentiation,2,4,2.91,4.45e-05,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
GO:0098542,defense response to other organism,6,859,1.06,4.6e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000482657","RELB,MALT1,BCL10,ZC3H12A,CYLD,MAP3K14"
GO:0010803,regulation of tumor necrosis factor-mediated signaling pathway,3,56,1.94,4.76e-05,"9606.ENSP00000348632,9606.ENSP00000392025,9606.ENSP00000481570","RBCK1,CYLD,TNFAIP3"
GO:0006464,cellular protein modification process,9,2999,0.69,5.61e-05,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0002223,stimulatory C-type lectin receptor signaling pathway,3,62,1.9,6.08e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612","RELB,MALT1,BCL10"
GO:0002252,immune effector process,6,927,1.02,6.61e-05,"9606.ENSP00000221452,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000482657","RELB,RC3H1,BCL10,ZC3H12A,RC3H2,MAP3K14"
GO:0042981,regulation of apoptotic process,7,1501,0.88,6.96e-05,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,BCL10,ZC3H12A,CYLD,TNFAIP3,MAP3K14"
GO:0032101,regulation of response to external stimulus,6,955,1.01,7.49e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0035556,intracellular signal transduction,7,1528,0.87,7.54e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,BCL10,CYLD,TNFAIP3,MAP3K14"
GO:0000209,protein polyubiquitination,4,240,1.43,8.06e-05,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570","RBCK1,RC3H1,RC3H2,TNFAIP3"
GO:0006955,immune response,7,1560,0.86,8.51e-05,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000482657","RELB,MALT1,RC3H1,BCL10,RC3H2,CYLD,MAP3K14"
GO:0001818,negative regulation of cytokine production,4,245,1.43,8.54e-05,"9606.ENSP00000221452,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RELB,ZC3H12A,CYLD,TNFAIP3"
GO:0051171,regulation of nitrogen compound metabolic process,11,5827,0.49,0.00010,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0002634,regulation of germinal center formation,2,9,2.56,0.00013,"9606.ENSP00000356669,9606.ENSP00000481570","RC3H1,TNFAIP3"
GO:0080090,regulation of primary metabolic process,11,5982,0.48,0.00013,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0071214,cellular response to abiotic stimulus,4,282,1.36,0.00014,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000359612,9606.ENSP00000482657","RELB,N4BP1,BCL10,MAP3K14"
GO:0031323,regulation of cellular metabolic process,11,6082,0.47,0.00015,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0051241,negative regulation of multicellular organismal process,6,1098,0.95,0.00015,"9606.ENSP00000221452,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,RC3H1,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0051704,multi-organism process,8,2514,0.72,0.00015,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,BCL10,ZC3H12A,CYLD,TNFAIP3,MAP3K14"
GO:0060255,regulation of macromolecule metabolic process,11,6072,0.47,0.00015,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0007165,signal transduction,10,4738,0.54,0.00018,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0051716,cellular response to stimulus,11,6212,0.46,0.00018,"9606.ENSP00000221452,9606.ENSP00000262384,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,N4BP1,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0002237,response to molecule of bacterial origin,4,317,1.31,0.00020,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000481570","MALT1,BCL10,ZC3H12A,TNFAIP3"
GO:0061158,3'-UTR-mediated mRNA destabilization,2,13,2.4,0.00023,"9606.ENSP00000356669,9606.ENSP00000362179","RC3H1,ZC3H12A"
GO:0048522,positive regulation of cellular process,10,4898,0.52,0.00024,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0002221,pattern recognition receptor signaling pathway,3,114,1.63,0.00027,"9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","BCL10,CYLD,TNFAIP3"
GO:0050864,regulation of B cell activation,3,118,1.62,0.00029,"9606.ENSP00000356669,9606.ENSP00000392025,9606.ENSP00000481570","RC3H1,CYLD,TNFAIP3"
GO:0051239,regulation of multicellular organismal process,8,2788,0.67,0.00030,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,3,122,1.6,0.00032,"9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000482657","RBCK1,BCL10,MAP3K14"
GO:0051252,regulation of RNA metabolic process,9,3890,0.58,0.00035,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0048535,lymph node development,2,18,2.26,0.00038,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
GO:1903322,positive regulation of protein modification by small protein conjugation or removal,3,131,1.57,0.00038,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179","MALT1,BCL10,ZC3H12A"
GO:0032691,negative regulation of interleukin-1 beta production,2,20,2.21,0.00045,"9606.ENSP00000362179,9606.ENSP00000481570","ZC3H12A,TNFAIP3"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,3,142,1.54,0.00047,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612","MALT1,RBCK1,BCL10"
GO:2000112,regulation of cellular macromolecule biosynthetic process,9,4050,0.56,0.00047,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0044265,cellular macromolecule catabolic process,5,842,0.99,0.00052,"9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","RBCK1,RC3H1,ZC3H12A,CYLD,TNFAIP3"
GO:1901223,negative regulation of NIK/NF-kappaB signaling,2,22,2.17,0.00052,"9606.ENSP00000362179,9606.ENSP00000392025","ZC3H12A,CYLD"
GO:0043069,negative regulation of programmed cell death,5,873,0.97,0.00059,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000481570","MALT1,RBCK1,BCL10,ZC3H12A,TNFAIP3"
GO:0065003,protein-containing complex assembly,6,1514,0.81,0.00069,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,RC3H1,BCL10,ZC3H12A,CYLD,TNFAIP3"
GO:0070423,nucleotide-binding oligomerization domain containing signaling pathway,2,27,2.08,0.00071,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0070536,protein K63-linked deubiquitination,2,28,2.07,0.00075,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0071108,protein K48-linked deubiquitination,2,29,2.05,0.00080,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0022607,cellular component assembly,7,2343,0.69,0.00081,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000378400,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,RC3H1,BCL10,ZC3H12A,LIMA1,CYLD,TNFAIP3"
GO:0050869,negative regulation of B cell activation,2,31,2.02,0.00089,"9606.ENSP00000356669,9606.ENSP00000481570","RC3H1,TNFAIP3"
GO:0051259,protein complex oligomerization,4,512,1.11,0.00097,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000481570","MALT1,BCL10,ZC3H12A,TNFAIP3"
GO:0043029,T cell homeostasis,2,33,1.99,0.00098,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
GO:0050870,positive regulation of T cell activation,3,193,1.4,0.00098,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000392025","MALT1,BCL10,CYLD"
